Source Term	Target Term
yttrium oxide	itria
factorial effect	efecto factorial
surfactant	agente surfactante
uncertainty	incertidumbre
boiling reactor	reactor a temperatura de ebullición
water electrolysis	electrolisis del agua
alkylphenol ethoxylate	APEO
bio-based process	proceso de base biológica
Quat	compuesto de amonio cuaternario
UB	límite superior
halide	halogenuro
chemical conversion	conversión química
human biomonitoring data	datos de biovigilancia humana
vacuum distillation	destilación en vacío
enamel paint	esmalte
polychlorinated dibenzodioxin	dibenzo-p-dioxinas policloradas
sillimanite	silimanita
molecular weight	peso molecular
PCB	bifenilos policlorados
cationic surfactant	tensioactivo catiónico
extractable organofluorine-combustion ion chromatography	cromatografía de iones de combustión para la determinación de organoflúor extraíble
ketone	cetona
organotin compound	compuesto orgánico de estaño
immunoassay	inmunoanálisis
cytidine	citidina
bioanalysis	análisis biológico
pyrrolidinedithiocarbamate solution	solución de pirrolidinaditiocarbamato
lindane	lindane
experimental design	diseño experimental
chromatography	cromatografía
repeatability	repetibilidad
2,3,7,8-tetrachlorodibenzo-para-dioxin	2,3,7,8-tetraclorodibenzo-p-dioxina
diphenhydramine	difenhidramina
unsaponifiable matter	insaponificable
matrix	matriz
blue asbestos	crocidolita
nitrogen	ázoe
diethylene triamine pentaacetic acid	DTPA
anion	anión
adenosine disphosphate	5'-difosfato de adenosina
partition chromatography	cromatografía de reparto
field blank procedure	procedimiento de blanco de campo
mineral wax	cera mineral
self-accelerating decomposition temperature	TDAA
emission wavelength	longitud de onda de emisión
molecular ion	ion molecular
arylamine	arilamina
glucose	glucosa
fitness-for-purpose	aptitud para el uso
organometallic substance	compuesto organometálico
shake-flask method	método del matraz de agitación
polymerisation	polimerización
methyl mercaptan	metilmercaptano
graft polymer	polímero injertado
organic solvent	disolvente orgánico
substance of very high concern	SEP
non-ferrous metal	metal no férreo
calcium ammonium nitrate	nitrato de amonio y de calcio
polyalcohol	polialcohol
optical rotation	rotación óptica
plating	revestimiento
saponification value	índice de saponificación
adsorbent	adsorbente
precipitant	precipitante
2-hydroxypropanoic acid	ácido láctico
two-dimensional chromatography	cromatografía bidimensional
nitrosation	nitrosación
condensation	condensación
elution	elución
collaborative study	estudio colaborativo
Toxic Equivalency Factor	FET
immuno-affinity chromatography	CIA
matrix-fortified standard	patrón de matriz enriquecida
anion exchange membrane electrolyser	electrolizador de membrana de intercambio aniónico
colloidal system	sistema coloidal
thujone	tuyona
adduct	aducto
xylenol	xilenol
porphyry	pórfido
recovery correction factor	factor corrector de la recuperación
amount-of-substance concentration	concentración molar
bond	enlace
solution	solución
ethylenediaminetetraacetic acid	ácido etilendinitrilotetraacético
phosphorylation	fosforilación
lipophilic	lipófilo
distillation column with a dividing wall	columna de pared divisoria
2-ethylhexyl prop-2-enoate	acrilato de 2-etilhexilo
mass-to-charge ratio	m/z
specificity	selectividad
peroxide value	índice de peróxido
spectrometry	espectrometría
formaldehyde releaser	liberador de formaldehído
disodium sulfite	sulfito sódico
arachidic acid	ácido araquídico
powder coating	pintura en polvo
distillation	destilación
ICSC	ficha internacional de seguridad química
sampling frequency	frecuencia de muestreo
Database of Study Notifications	base de datos de notificaciones de estudios
salinomycin sodium	salinomicina sódica
fluorotelomer	fluorotelómero
CRM	MRC
gas liquefaction	licuefacción de gas
sodium hypochlorite	hipoclorito de sodio
ferric sodium EDTA	feredetato sódico
ion exchanger	intercambiador iónico
wet only sampling	"muestreo ""wet-only"""
Horwitz equation	ecuación de Horwitz
dye	materia colorante
polycyclic aromatic hydrocarbon	hidrocarburo aromático policíclico
cyanide	cianuro
GTP	guanosina-5'-trifosfato
y-axis intercept	ordenada en el origen
protein profiling	perfil de proteinas
acetylation	acetilación
difunctional derivative	derivado bifuncional
nanomaterial form	nanoforma
relative matrix effect	efecto matriz relativo
ethane	etano
safe and sustainable-by-design chemical	sustancia química segura y sostenible desde el diseño
PVAL	alcohol polivinílico
macromolecule	macromolécula
hydrogen	E 949
sodium carbonates	E 500
volatile compound	compuesto volátil
representative sample	muestra representativa
hazard statement	indicación de peligro
optical activity	actividad óptica
ion	ion
GC/HRMS	cromatografía de gases con detección por espectrometría de masas de alta resolución
gas chromatography	CG
proficiency test	prueba de aptitud
chromatographic separation	separación cromatográfica
basalt	basalto
parts per million	ppm
oligosaccharide	oligosacáridos
adsorption	adsorción
stoichiometric excess	exceso estequiométrico
STC	concentración de cribado establecida
phase separation	separación de fases
NADH	forma reducida de nicotinamida-adenina dinucleótido
adenylate cyclase	adenilil ciclasa
pressure swing adsorption	adsorción por oscilación de presión
carbon dioxide snow	hielo seco
cytosine	citosina
endo-1,3(4)-β-glucanase	endo-1,3(4)-beta-glucanasa
ADR	ADR
cyclic hydrocarbon	hidrocarburo cíclico
recombinase	recombinasa
trueness	veracidad
ethanenitrile	acetonitrilo
level of interest	nivel de interés
POM	resina acetal
thermal reduction	reducción térmica
dioxin-like compound	compuesto similar a la dioxina
chromium(VI)	cromo hexavalente
sample division	división de la muestra
pentose	pentosa
de novo synthesis	síntesis de novo
quaternary ammonium cation	catión de amonio cuaternario
phenylacetic acid	ácido fenilacético
eluent	eluyente
boiling point	temperatura de ebullición
hexamine fuel tablet	pastilla de combustible de hexamina
isocyanatomethane	isocianato de metilo
MALDI-TOF mass spectrometry	espectrometría de masas MALDI-TOF
fluorine	flúor
galactose	galactosa
toxic equivalent	TEQ
liquid-solid chromatography	cromatografía de adsorción
peroxyformic acid	ácido peroxifórmico
autoclave	autoclave
TCD	destilación térmicamente acoplada
guanosine	guanosina
OPs	organofosfatos
restriction dossier	expediente de restricción
catalyst poison	veneno del catalizador
plane chromatography	cromatografía planar
target ion	ión diana
deep-bed filtration	filtración en lecho profundo
biomolecule	biomolécula
impurity	impureza
organosulphide	sulfuro orgánico
chlorodifluoromethane	monoclorodifluorometano
platinoid	metal del grupo del platino
isomer	isómero
isolated intermediate	sustancia intermedia aislada
analyte	analito
precipitate	precipitado
sodium hydride	hidruro sódico
